,ALLSKY_SFC_SW_DWN,PRECTOTCORR,PS,RH2M,T2M,WS2M,PREC_lag1,PREC_lag2,PREC_lag4,PREC_lag8,T2M_lag1,T2M_lag2,T2M_lag4,T2M_lag8,RH2M_lag1,RH2M_lag2,RH2M_lag4,RH2M_lag8,PREC_roll4_mean,PREC_roll4_std,PREC_roll12_mean,PREC_roll12_std,T2M_roll4_mean,T2M_roll12_mean,week_sin,week_cos,None_lag1,D0_lag1,D1_lag1,D2_lag1,D3_lag1,D4_lag1,None_lag2,D0_lag2,D1_lag2,D2_lag2,D3_lag2,D4_lag2,heat_dry_stress
ALLSKY_SFC_SW_DWN,1.0,0.31254331835887317,0.24804783261701946,0.515916330828616,0.8660101989485788,0.3272056662000292,0.4841780351096324,0.4936071507848739,0.4212647862150699,0.2841229436170659,0.7743487735822914,0.7091393789051278,0.5639789565912476,0.15996965405530866,0.335770077502514,0.2875515553748285,0.23509555834198886,0.05979423537461617,0.6671769473689547,0.4872966303657888,0.5620951164320148,0.5118455017472201,0.6980016016921821,0.3338483838511052,0.08125882098901263,0.9417781972668697,0.04516177502064205,0.04516177502064214,0.010691890782143741,0.012337565779115904,0.07383970725292577,0.14067212356307252,0.04012909802101199,0.04012909802101192,0.00660459533914065,0.01772261355002025,0.0774960208140358,0.1432227378033769,0.8429452501388259
PRECTOTCORR,0.31254331835887317,1.0,0.34628827345616875,0.2744509164056367,0.4043516100490101,0.10804009935026525,0.33455255952732493,0.2928091653309345,0.3028033181448303,0.1555994228739275,0.44296368437895706,0.39244784222933077,0.3049642984395204,0.10612306340417348,0.07794035705904313,0.09069008565521079,0.0687939097856892,0.03122502498897035,0.4368227913999068,0.3319017516147348,0.3338682984937001,0.31983447567788537,0.38148405797894264,0.1914168460329538,0.03151419847296939,0.524310470820988,0.0989432859137657,0.09894328591376578,0.07250718273126387,0.08941936124863342,0.11341463530319895,0.11274185641483037,0.09502858180885382,0.09502858180885396,0.06937713199707955,0.08703602920744628,0.10750073549188355,0.10385522422144637,0.21796399310712888
PS,0.24804783261701946,0.34628827345616875,1.0,0.046824609921406794,0.28055790505996886,0.24996519716632784,0.16791644178608034,0.06255610688286994,0.15003297953336214,0.027004298735348164,0.18657183730524424,0.13856329316662977,0.05665688653435562,0.09910800180664565,0.07556230229910135,0.12468858800878996,0.006347302323660791,0.02824164233885851,0.16403211001038104,0.1514920909950052,0.0471298016659808,0.06597594230128448,0.1261894596555433,0.048371506733593174,0.2006967040229753,0.2833587592561983,0.04622308703390822,0.0462230870339082,0.010781492545277716,0.022311436130544673,0.033110759843591665,0.03240938076374155,0.043194634743817906,0.043194634743817774,0.013517693220822491,0.01962667486204655,0.030228666154466007,0.02700912089928571,0.22543542808486824
RH2M,0.515916330828616,0.2744509164056367,0.046824609921406794,1.0,0.47156466378597645,0.008440672860370233,0.04814277836156717,0.040601075628285535,0.044247381086000064,0.07502623638813745,0.44277573994546265,0.41496585490060656,0.39183845138586043,0.2456565263637603,0.6672954677016912,0.5512889772048803,0.4653702473015779,0.30364671871225823,0.030667191029167103,0.006128589870445556,0.07954767247507652,0.00804663682766236,0.43189340363960604,0.32234670266166776,0.11791177039688362,0.36867758025381453,0.24055283837186903,0.24055283837186892,0.2664775102866764,0.2452246258244376,0.20160482945301658,0.08879683970345859,0.2338627481238507,0.2338627481238509,0.24905352121356694,0.23098232980848551,0.18738674172549916,0.07354624659141526,0.6469270886230157
T2M,0.8660101989485788,0.4043516100490101,0.28055790505996886,0.47156466378597645,1.0,0.47703889987695774,0.4374329155284738,0.47793852244543983,0.4821283200706591,0.4212653878053673,0.9353846158616199,0.8954080707666643,0.8106412498538393,0.518147568287319,0.4174358717900112,0.3864537512349973,0.3355697404270317,0.21918093549017098,0.6759583047202201,0.46722209401200654,0.7333872533132757,0.5873490499374615,0.9068043633053984,0.6698138444884257,0.3092672524818833,0.8969353671980421,0.06490900939866816,0.06490900939866812,0.018901643558084137,0.004736768450629093,0.0707045488212643,0.13940598884124822,0.0639035089822028,0.06390350898220276,0.013948761562304773,0.011280314286471225,0.07752177671348223,0.1480101619239675,0.946008402854005
WS2M,0.3272056662000292,0.10804009935026525,0.24996519716632784,0.008440672860370233,0.47703889987695774,1.0,0.26060134469617746,0.276121400875402,0.2896621001594419,0.33951817573440024,0.4788923558066054,0.5188459953159408,0.5279943213763171,0.48927794600756236,0.0662656992322092,0.10572864333398478,0.14011664753947703,0.18211111519105697,0.3978463746575096,0.29368451907113297,0.5605461542560222,0.4657258983323933,0.5335619526902027,0.5478358115059848,0.4591142583175155,0.37025575305611164,0.07283548677546864,0.07283548677546858,0.015757316869200965,0.0023313268111310767,0.016019238145944643,0.030158840798792844,0.0757337344713151,0.07573373447131508,0.012656086811666844,0.007207355724568035,0.023759089217734796,0.04317827346466912,0.4336477329030788
PREC_lag1,0.4841780351096324,0.33455255952732493,0.16791644178608034,0.04814277836156717,0.4374329155284738,0.26060134469617746,1.0,0.3370858449982847,0.2878847479358512,0.21694632511163292,0.40352224147803223,0.44206321935897475,0.3322528955396821,0.15463896320518453,0.27565385427587374,0.07520694900941662,0.07335293760501972,0.013998978427369252,0.6873656497714861,0.5600087211737271,0.48175338502534937,0.4904285560733729,0.4063358556181502,0.2432018975812199,0.031775471300849796,0.5229249840319018,0.10847283733848155,0.10847283733848159,0.07731878967537963,0.09782709088113739,0.11956594573868516,0.12870045491170243,0.09972794554549412,0.09972794554549418,0.0730197295633901,0.08982157124437096,0.11377732701318127,0.11301582030959555,0.32191283325492454
PREC_lag2,0.4936071507848739,0.2928091653309345,0.06255610688286994,0.040601075628285535,0.47793852244543983,0.276121400875402,0.3370858449982847,1.0,0.29422751650437023,0.21625187932734585,0.4414768723343295,0.40766437030466,0.3964088355214643,0.21521103764898175,0.043924806750648034,0.27094054017815583,0.09535498310231802,0.07594171721605336,0.7066523786689499,0.5690727793449625,0.5271731909577606,0.5080439007618887,0.43789090738512576,0.29612735127091816,0.09691637905663854,0.5192430425472228,0.16140390879452102,0.16140390879452082,0.09981884160554648,0.10939067482762077,0.1293601707116861,0.13401148307503946,0.10577218794743568,0.10577218794743573,0.07557330727976151,0.09653564332062346,0.118479444331366,0.1279459583437826,0.3821696348012139
PREC_lag4,0.4212647862150699,0.3028033181448303,0.15003297953336214,0.044247381086000064,0.4821283200706591,0.2896621001594419,0.2878847479358512,0.29422751650437023,1.0,0.30285727219237446,0.4883709053524935,0.47728808281548585,0.40723078096110094,0.308724347610759,0.04961764889076798,0.03846441419525583,0.2716094608121934,0.07796043219122128,0.6887435191907955,0.5891442769105841,0.5867381507768464,0.5330421090437649,0.4695019084393092,0.3826770732123553,0.21935885661916554,0.47886272469448643,0.18824972383539404,0.1882497238353941,0.11875115802627444,0.11902240125790703,0.14096641944776458,0.13299889030654075,0.17885819709290932,0.17885819709290945,0.11018744089801508,0.1156115919552111,0.13816540559656054,0.13191256711487065,0.3934364323731541
PREC_lag8,0.2841229436170659,0.1555994228739275,0.027004298735348164,0.07502623638813745,0.4212653878053673,0.33951817573440024,0.21694632511163292,0.21625187932734585,0.30285727219237446,1.0,0.4584587061809219,0.4745168289408953,0.4842679547429994,0.4100979795287369,0.04204684843967877,0.048944579415472596,0.04743544186429296,0.25892391161384853,0.34448267685948003,0.1820539121872205,0.6103319600833925,0.5012975579154789,0.4909824770215401,0.49235536563706095,0.42107326957872243,0.32031566635193787,0.19243883975430698,0.1924388397543073,0.13229653826704063,0.12466710469982212,0.14258846785997187,0.1342375128951913,0.19701574305900896,0.19701574305900918,0.1334818095536862,0.11792645919035652,0.14073639006162425,0.1298866036131371,0.37443699497680333
T2M_lag1,0.7743487735822914,0.44296368437895706,0.18657183730524424,0.44277573994546265,0.9353846158616199,0.4788923558066054,0.40352224147803223,0.4414768723343295,0.4883709053524935,0.4584587061809219,1.0,0.9354877204300868,0.8614603587932369,0.6060414461245556,0.47200109456479966,0.4167725585305064,0.36010092820060957,0.2579281346811316,0.6489647391991339,0.44704267673297976,0.7597583774336352,0.5966366928791217,0.955939152071026,0.7548172697722404,0.41642490503006935,0.8517440129284942,0.06119675686760528,0.06119675686760526,0.025703096904275854,0.0035261009352545343,0.06205943214016999,0.12732669228430157,0.06439340106580234,0.06439340106580253,0.019189683345546334,0.004508718085333366,0.07046204015102897,0.1391691438529006,0.8840332172614662
T2M_lag2,0.7091393789051278,0.39244784222933077,0.13856329316662977,0.41496585490060656,0.8954080707666643,0.5188459953159408,0.44206321935897475,0.40766437030466,0.47728808281548585,0.4745168289408953,0.9354877204300868,1.0,0.8957564483598794,0.6813787430213543,0.44338317152849926,0.47158790839748727,0.38833893736000646,0.278644187420633,0.6335823925160872,0.43289272406113505,0.7837864864284735,0.6091824867273137,0.9752069929084185,0.8235723976049458,0.5174570527495473,0.7938662393348117,0.05410871215506161,0.054108712155061515,0.03148513706309111,0.011077180955349042,0.050451719035176826,0.1170881589390263,0.060465817107023846,0.0604658171070237,0.026102952402392635,0.0038406119867883276,0.0617210111429202,0.1269961479483261,0.8475589607106946
T2M_lag4,0.5639789565912476,0.3049642984395204,0.05665688653435562,0.39183845138586043,0.8106412498538393,0.5279943213763171,0.3322528955396821,0.3964088355214643,0.40723078096110094,0.4842679547429994,0.8614603587932369,0.8957564483598794,1.0,0.8118221258816992,0.4190226921086324,0.41412606509645483,0.47248887850745586,0.34420943931655124,0.566556881116638,0.37218950189675987,0.7852508314991821,0.5862746963392504,0.9561220535954036,0.9211013349817809,0.6950579485814187,0.6439300146982361,0.051381531114494,0.05138153111449392,0.03729937063028522,0.02190292175325778,0.029474553895843317,0.09095490295962046,0.05310468848121994,0.05310468848121986,0.03514862145022444,0.01636033643682768,0.03975118462460837,0.10543644944953237,0.7734630632303241
