year,mean_d0_plus,median_d0_plus,pct_county_weeks_d0_plus_eq_100
2009,0.0,0.0,0.0
2010,11.02,0.0,5.48
2011,75.4,100.0,64.71
2012,78.08,100.0,74.04
2013,74.73,100.0,67.17
2014,83.44,100.0,77.12
2015,48.58,49.43,39.33
2016,20.35,0.0,12.5
2017,41.89,8.74,31.25
2018,63.27,100.0,57.02
2019,6.48,0.0,3.3
2020,42.62,13.3,29.62
2021,32.47,0.0,18.56
2022,75.21,100.0,70.96
2023,92.82,100.0,82.12
2024,72.69,100.0,55.28
2025,50.4,51.7,33.17
